Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Annual Review of Psychology,10.232000000000001,Q1,230,32,76,https://www.annualreviews.org/journal/psych,Sin informacion,No
Psychological Bulletin,9.231,Q1,296,46,147,http://www.apa.org/pubs/journals/bul/index.aspx,0033-2909/1939-1455,A1
Personnel Psychology,8.77,Q1,133,34,71,https://onlinelibrary.wiley.com/journal/17446570,0031-5826/1744-6570,A1
Annual Review of Organizational Psychology and Organizational Behavior,7.999,Q1,42,19,59,https://www.annualreviews.org/journal/orgpsych,2327-0608/2327-0616,A1
Personality and Social Psychology Review,7.782,Q1,146,19,42,https://journals.sagepub.com/home/psr,1088-8683/1532-7957,A1
Annual Review of Clinical Psychology,7.696000000000001,Q1,110,24,63,https://www.annualreviews.org/journal/clinpsy,Sin informacion,No
Trends in Cognitive Sciences,6.9479999999999995,Q1,298,118,353,https://www.cell.com/trends/cognitive-sciences/home,1364-6613/1879-307X,A1
"Psychological Science in the Public Interest, Supplement",6.728,Q1,52,7,22,https://www.psychologicalscience.org/publications/pspi,Sin informacion,No
Psychological Methods,6.4239999999999995,Q1,142,70,132,https://www.apa.org/pubs/journals/met/index,1082-989X/1939-1463,A1
Journal of Applied Psychology,6.422999999999999,Q1,269,116,307,https://www.apa.org/pubs/journals/apl/,0021-9010/1939-1854,A1
Clinical Psychology Review,5.281000000000001,Q1,194,64,237,https://www.journals.elsevier.com/clinical-psychology-review,0272-7358/1873-7811,A1
Perspectives on Psychological Science,5.272,Q1,125,79,246,https://journals.sagepub.com/home/pps,1745-6916/1745-6924,A1
Psychological Review,4.816,Q1,204,44,119,https://www.apa.org/pubs/journals/rev/,0033-295X/1939-1471,A1
Leadership Quarterly,4.694,Q1,144,67,158,https://www.journals.elsevier.com/the-leadership-quarterly,1048-9843/1873-3409,A1
Journal of Personality and Social Psychology,4.539,Q1,351,182,341,https://www.apa.org/pubs/journals/psp/,0022-3514/1939-1315,A1
International Review of Sport and Exercise Psychology,4.504,Q1,32,18,30,https://www.tandfonline.com/toc/rirs20/current,1750-984X/1750-9858,A1
Psychological Inquiry,4.235,Q1,78,33,127,https://www.tandfonline.com/toc/hpli20/current,1047-840X/1532-7965,A1
Journal of Occupational Health Psychology,4.192,Q1,113,58,134,https://www.apa.org/pubs/journals/ocp/,1076-8998/1939-1307,A1
Social Issues and Policy Review,4.061,Q1,32,9,26,https://spssi.onlinelibrary.wiley.com/journal/17512409,1751-2395/1751-2409,A1
Journal of Abnormal Psychology,3.8089999999999997,Q1,186,91,280,https://www.apa.org/pubs/journals/abn/,0021-843X,A1
Educational Psychology Review,3.805,Q1,105,53,131,https://www.springer.com/journal/10648,1040-726X/1573-336X,A1
Journal of Consumer Psychology,3.733,Q1,99,71,161,https://onlinelibrary.wiley.com/journal/15327663,1057-7408/1532-7663,A1
Neuroscience and Biobehavioral Reviews,3.6719999999999997,Q1,224,344,927,https://www.journals.elsevier.com/neuroscience-and-biobehavioral-reviews/,0149-7634/1873-7528,A1
Nature Human Behaviour,3.6639999999999997,Q1,29,289,456,https://www.nature.com/nathumbehav/,2397-3374,A1
Educational Psychologist,3.6519999999999997,Q1,118,21,68,https://www.tandfonline.com/toc/hedp20/current,0046-1520/1532-6985,A1
Multivariate Behavioral Research,3.65,Q1,74,115,189,https://www.tandfonline.com/toc/hmbr20/current,0027-3171/1532-7906,A1
Journal of Organizational Behavior,3.6060000000000003,Q1,164,73,238,https://onlinelibrary.wiley.com/journal/10991379,0894-3796/1099-1379,A1
Psychotherapy and Psychosomatics,3.53,Q1,92,79,215,https://www.karger.com/Journal/Home/223864,0033-3190/1423-0348,A1
Current Directions in Psychological Science,3.346,Q1,159,93,233,https://journals.sagepub.com/home/cdp,0963-7214/1467-8721,A1
Journal of the American Academy of Child and Adolescent Psychiatry,3.318,Q1,233,199,565,https://www.jaacap.org/,0890-8567/1527-5418,A1
Psychological Science,3.303,Q1,245,172,544,https://journals.sagepub.com/home/pss,0956-7976/1467-9280,A1
Journal of Educational Psychology,3.272,Q1,196,148,221,https://www.apa.org/pubs/journals/edu/,0022-0663/1939-2176,A1
Health Psychology Review,3.259,Q1,45,38,104,https://www.tandfonline.com/toc/rhpr20/current,1743-7199/1743-7202,A1
The Lancet Child and Adolescent Health,3.2310000000000003,Q1,16,243,309,https://www.thelancet.com/journals/lanchi/home,2352-4642,A1
Journal of Child Psychology and Psychiatry and Allied Disciplines,3.218,Q1,202,176,472,https://onlinelibrary.wiley.com/journal/14697610,0021-9630/1469-7610,A1
Journal of Memory and Language,3.093,Q1,138,66,226,https://www.journals.elsevier.com/journal-of-memory-and-language,0749-596X/1096-0821,A1
Developmental Review,3.083,Q1,88,16,60,https://www.journals.elsevier.com/developmental-review,0273-2297/1090-2406,A1
Journal of Positive Behavior Interventions,3.005,Q1,57,23,68,https://journals.sagepub.com/home/pbi,1098-3007/1538-4772,A1
Social Psychological and Personality Science,2.968,Q1,53,161,299,https://journals.sagepub.com/home/spp,1948-5506/1948-5514,A1
Child Development Perspectives,2.932,Q1,64,42,135,https://srcd.onlinelibrary.wiley.com/journal/17508606,1750-8592/1750-8606,A1
Human Communication Research,2.926,Q1,85,19,79,https://onlinelibrary.wiley.com/journal/14682958,0360-3989/1468-2958,A1
Psychological Medicine,2.903,Q1,201,543,870,https://www.cambridge.org/core/journals/psychological-medicine/information,0033-2917/1469-8978,A1
Child Development,2.88,Q1,243,285,515,https://srcd.onlinelibrary.wiley.com/journal/14678624,0009-3920/1467-8624,A1
Organizational Psychology Review,2.784,Q1,14,11,37,https://journals.sagepub.com/home/opr,2041-3866/2041-3874,A1
Cognitive Psychology,2.78,Q1,114,30,105,https://www.journals.elsevier.com/cognitive-psychology,0010-0285/1095-5623,A1
Exceptional Children,2.765,Q1,85,24,95,https://journals.sagepub.com/home/ecx,0014-4029/2163-5560,A1
Organizational Behavior and Human Decision Processes,2.722,Q1,136,74,134,https://www.journals.elsevier.com/organizational-behavior-and-human-decision-processes/,0749-5978/1095-9920,A1
Journal of Experimental Psychology: General,2.721,Q1,150,223,376,https://www.apa.org/pubs/journals/xge/,Sin informacion,No
Clinical Psychology: Science and Practice,2.71,Q1,103,31,124,https://onlinelibrary.wiley.com/journal/14682850,Sin informacion,No
European Journal of Personality,2.67,Q1,79,38,157,https://onlinelibrary.wiley.com/journal/10990984,0890-2070/1099-0984,A1
Behavior Research Methods,2.6630000000000003,Q1,129,228,486,https://www.springer.com/psychology/cognitive+psychology/journal/13428,1554-351X/1554-3528,A1
Learning and Instruction,2.647,Q1,108,87,226,https://www.journals.elsevier.com/learning-and-instruction,0959-4752/1873-3263,A1
Psychometrika,2.6439999999999997,Q1,72,61,168,https://www.springer.com/journal/11336,0033-3123/1860-0980,A1
Political Psychology,2.61,Q1,87,90,218,https://onlinelibrary.wiley.com/journal/14679221,0162-895X/1467-9221,A1
Journal of Personality,2.593,Q1,135,119,205,https://onlinelibrary.wiley.com/journal/14676494,0022-3506/1467-6494,A1
Psychonomic Bulletin and Review,2.5810000000000004,Q1,143,167,627,https://www.springer.com/journal/13423,1069-9384/1531-5320,A1
Journal of the Learning Sciences,2.569,Q1,89,22,61,https://www.tandfonline.com/toc/hlns20/current,1050-8406/1532-7809,A1
Depression and Anxiety,2.544,Q1,120,112,370,https://onlinelibrary.wiley.com/journal/15206394,1091-4269/1520-6394,A1
Journal of Consulting and Clinical Psychology,2.535,Q1,231,101,308,https://www.apa.org/pubs/journals/ccp/,0022-006X/1939-2117,A1
Journal of Counseling Psychology,2.533,Q1,126,86,195,https://www.apa.org/pubs/journals/cou/,0022-0167/1939-2168,A1
Journal of Experimental Social Psychology,2.488,Q1,135,132,394,https://www.sciencedirect.com/journal/journal-of-experimental-social-psychology,0022-1031/1096-0465,A1
Research in Organizational Behavior,2.484,Q1,61,0,32,https://www.journals.elsevier.com/research-in-organizational-behavior,Sin informacion,No
British Journal of Mathematical and Statistical Psychology,2.4330000000000003,Q1,48,46,71,https://onlinelibrary.wiley.com/journal/20448317,0007-1102,A1
Developmental Science,2.425,Q1,120,175,376,https://onlinelibrary.wiley.com/journal/14677687,1363-755X/1467-7687,A1
European Review of Social Psychology,2.403,Q1,62,7,25,https://www.tandfonline.com/toc/pers20/current,1046-3283/1479-277X,A1
Clinical Psychological Science,2.35,Q1,42,119,255,https://www.psychologicalscience.org/publications/clinical,2167-7026/2167-7034,A1
Neuropsychology Review,2.335,Q1,87,32,79,https://www.springer.com/journal/11065,1040-7308/1573-6660,A1
Cognition,2.33,Q1,179,248,718,https://www.journals.elsevier.com/cognition,0010-0277/1873-7838,A1
Behaviour Research and Therapy,2.326,Q1,177,151,391,https://www.journals.elsevier.com/behaviour-research-and-therapy,0005-7967/1873-622X,A1
Human Resource Management Review,2.322,Q1,86,67,111,https://www.journals.elsevier.com/human-resource-management-review,1053-4822/1873-7889,A1
Developmental Psychology,2.258,Q1,203,234,557,https://www.apa.org/pubs/journals/dev/,0012-1649/1939-0599,A1
Emotion,2.248,Q1,133,237,367,https://www.apa.org/pubs/journals/emo/,1528-3542/1931-1516,A1
Journal of Vocational Behavior,2.21,Q1,141,119,242,https://www.journals.elsevier.com/journal-of-vocational-behavior,0001-8791/1095-9084,A1
Journal of Research in Crime and Delinquency,2.185,Q1,89,29,78,https://journals.sagepub.com/home/jrc,0022-4278/1552-731X,A1
Computers in Human Behavior,2.173,Q1,155,459,2031,https://www.journals.elsevier.com/computers-in-human-behavior,0747-5632/1873-7692,A1
Social and Personality Psychology Compass,2.166,Q1,46,61,160,https://onlinelibrary.wiley.com/journal/17519004,1751-9004,A1
Journal of Experimental Psychology: Learning Memory and Cognition,2.158,Q1,151,208,426,https://www.apa.org/pubs/journals/xlm/,Sin informacion,No
Contemporary Educational Psychology,2.1519999999999997,Q1,99,88,190,https://www.journals.elsevier.com/contemporary-educational-psychology,0361-476X/1090-2384,A1
Social Cognitive and Affective Neuroscience,2.095,Q1,95,99,489,http://scan.oxfordjournals.org/,1749-5016/1749-5024,A1
Personality and Social Psychology Bulletin,2.082,Q1,185,143,355,https://journals.sagepub.com/home/psp,0146-1672/1552-7433,A1
Reading Research Quarterly,2.06,Q1,86,44,83,https://ila.onlinelibrary.wiley.com/journal/19362722,0034-0553/1936-2722,A1
Journal of Anxiety Disorders,2.056,Q1,107,79,272,https://www.sciencedirect.com/journal/journal-of-anxiety-disorders,0887-6185/1873-7897,A1
Assessment,2.04,Q1,80,197,253,https://journals.sagepub.com/home/asm,1073-1911/1552-3489,A1
"Trauma, Violence and Abuse",2.037,Q1,77,114,143,https://journals.sagepub.com/home/tva,Sin informacion,No
"Personality Disorders: Theory, Research, and Treatment",2.035,Q1,43,83,155,https://www.apa.org/pubs/journals/per/,Sin informacion,No
