Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Cell Transplantation,1.042 ,Q3,96,169,487,https://journals.sagepub.com/home/cll,0963-6897/1555-3892,A1
Current Pathobiology Reports,0.974 ,Q3,21,14,89,https://www.scimagojr.com/journalsearch.php?q=21100901148&tip=sid&clean=0,2167-485X,A1
Oncology Reports,0.968 ,Q3,91,605,2459,https://www.scimagojr.com/journalsearch.php?q=12568&tip=sid&clean=0,1021-335X/1791-2431,A1
Journal of Mammary Gland Biology and Neoplasia,0.959 ,Q3,96,29,62,http://www.springer.com/medicine/oncology/journal/10911,1083-3021/1573-7039,A2
Brain Tumor Pathology,0.956 ,Q3,36,24,94,http://www.springer.com/medicine/oncology/journal/10014,1433-7398/1861-387X,A1
Infectious Agents and Cancer,0.955 ,Q3,32,50,165,http://www.infectagentscancer.com/,1750-9378,A2
Protoplasma,0.949 ,Q3,68,148,482,http://www.springer.com/springerwiennewyork/life+sciences/journal/709,0033-183X/1615-6102,A1
Archives of Gerontology and Geriatrics,0.948 ,Q3,70,175,528,http://www.elsevier.com/wps/find/journaldescription.cws_home/506044/description#description,0167-4943/1872-6976,A1
Experimental Hematology and Oncology,0.941 ,Q3,22,31,96,https://ehoonline.biomedcentral.com/,2162-3619,A2
Oncoscience (discontinued),0.940 ,Q3,22,0,106,https://www.scimagojr.com/journalsearch.php?q=21100446518&tip=sid&clean=0,Sin informacion,No
Oncology,0.932 ,Q3,95,89,354,http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=223857,0890-9091,B
Chinese Journal of Cancer Research (discontinued),0.924 ,Q3,31,0,144,http://www.springer.com/medicine/journal/11670,Sin informacion,No
Cytometry Part B - Clinical Cytometry,0.912 ,Q3,59,75,258,http://www3.interscience.wiley.com/journal/122684473/grouphome/home.html,Sin informacion,No
Innate Immunity,0.910 ,Q3,65,72,195,http://ini.sagepub.com/,1753-4259/1753-4267,A2
Molecular Imaging and Biology,0.904 ,Q3,67,194,337,http://www.springer.com/medicine/radiology/journal/11307,1536-1632/1860-2002,A1
Pathobiology,0.904 ,Q3,50,40,112,http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=224272,1015-2008/1423-0291,A1
Journal of Breast Cancer,0.897 ,Q3,33,58,191,https://ejbc.kr/,1738-6756/2092-9900,A2
European Journal of Cancer Prevention,0.895 ,Q3,75,89,273,http://journals.lww.com/eurjcancerprev/pages/default.aspx,0959-8278/1473-5709,A1
Advances in Cancer Research,0.893 ,Q3,89,30,104,http://www.elsevier.com/wps/find/bookseriesdescription.cws_home/BS_0066/description,Sin informacion,No
Current Cancer Drug Targets,0.893 ,Q3,89,81,230,https://benthamscience.com/journals/current-cancer-drug-targets/,1568-0096/1873-5576,A1
Leukemia and Lymphoma,0.886 ,Q3,86,565,1391,https://www.scimagojr.com/journalsearch.php?q=26016&tip=sid&clean=0,1029-2403/1042-8194,A2
Molecular Membrane Biology,0.886 ,Q3,74,7,18,http://informahealthcare.com/loi/mbc,0968-7688/1464-5203,B
International Journal of Alzheimer's Disease,0.881 ,Q3,46,3,24,https://www.scimagojr.com/journalsearch.php?q=19700177306&tip=sid&clean=0,Sin informacion,No
Cancer Microenvironment,0.877 ,Q3,40,16,41,https://www.springer.com/journal/12307,1875-2284/1875-2292,A2
Journal of the National Cancer Institute. Monographs,0.875 ,Q3,84,23,17,http://jncimono.oxfordjournals.org/,Sin informacion,No
International Journal of Molecular Epidemiology and Genetics (discontinued),0.865 ,Q3,22,0,24,https://www.scimagojr.com/journalsearch.php?q=19700175829&tip=sid&clean=0,Sin informacion,No
Journal of Zoological Systematics and Evolutionary Research,0.863 ,Q3,48,78,98,http://www.wiley.com/bw/journal.asp?ref=0947-5745,0947-5745/1439-0469,A1
Genes and Immunity,0.862 ,Q3,96,78,88,http://www.nature.com/gene/index.html,1466-4879/1476-5470,A1
Behavior Genetics,0.861 ,Q3,92,55,171,http://www.springer.com/psychology/psychology+general/journal/10519,0001-8244/1573-3297,A1
Journal of Biological Engineering,0.859 ,Q3,36,94,106,http://www.jbioleng.org/,1754-1611,A1
DNA and Cell Biology,0.854 ,Q3,74,170,368,http://www.liebertpub.com/products/product.aspx?pid=13,1044-5498/1557-7430,A2
Melanoma Research,0.854 ,Q3,71,104,299,http://journals.lww.com/melanomaresearch/pages/default.aspx,0960-8931/1473-5636,A1
American Journal of Stem Cells (discontinued),0.850 ,Q3,18,0,13,https://www.scimagojr.com/journalsearch.php?q=21100332454&tip=sid&clean=0,Sin informacion,No
Molecular Reproduction and Development,0.845 ,Q3,100,171,362,http://www3.interscience.wiley.com/journal/117927940/grouphome/home.html,1040-452X/1098-2795,A2
