Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Journal of Neuroscience Research,1.662 ,Q2,156,170,540,https://onlinelibrary.wiley.com/journal/10974547,0360-4012/1097-4547,A1
Frontiers in Cellular Neuroscience,1.618 ,Q2,76,582,1265,https://www.frontiersin.org/journals/cellular-neuroscience,1662-5102,A2
Emerging Themes in Epidemiology,1.589 ,Q2,33,5,39,https://ete-online.biomedcentral.com/,1742-7622,A2
BMC Structural Biology,1.573 ,Q2,52,8,48,https://bmcstructbiol.biomedcentral.com/,1472-6807,A2
Clinical Epidemiology,1.500 ,Q2,54,97,346,https://www.dovepress.com/clinical-epidemiology-journal,Sin informacion,No
Cellular Immunology,1.475 ,Q2,88,109,362,https://www.journals.elsevier.com/cellular-immunology,0008-8749/1090-2163,A2
Neurogenetics,1.457 ,Q2,58,29,97,https://www.springer.com/journal/10048,1364-6745/1364-6753,A2
Molecular and Cellular Neurosciences,1.439 ,Q2,132,66,311,https://www.journals.elsevier.com/molecular-and-cellular-neuroscience,1044-7431/1095-9327,A2
Journal of Molecular Psychiatry,1.409 ,Q2,4,0,2,https://jmolecularpsychiatry.biomedcentral.com/,Sin informacion,No
Stem Cell Reviews and Reports,1.408 ,Q2,69,76,224,https://www.springer.com/journal/12015,1550-8943/1558-6804,A1
Cognitive Neuroscience,1.389 ,Q2,28,39,93,https://www.tandfonline.com/toc/pcns20/current,1758-8928/1758-8936,A2
Journal of Human Genetics,1.388 ,Q2,79,156,492,https://www.nature.com/jhg/,1434-5161/1435-232X,A2
Journal of General Virology,1.386 ,Q2,160,171,857,https://www.microbiologyresearch.org/content/journal/jgv,0022-1317/1465-2099,A2
Gene Expression,1.378 ,Q2,44,12,49,https://cognizantcommunication.com/publication/gene-expression-the-journal-of-liver-research/,1052-2166/1555-3884,A2
European Journal of Neuroscience,1.376 ,Q2,199,395,891,https://onlinelibrary.wiley.com/journal/14609568,0953-816X/1460-9568,A2
Journal of Applied Meteorology and Climatology,1.367 ,Q2,128,156,503,https://www.ametsoc.org/ams/index.cfm/publications/journals/journal-of-applied-meteorology-and-climatology/,1558-8424/1558-8432,A2
Neuroscience,1.364 ,Q2,213,648,2037,https://www.journals.elsevier.com/neuroscience,0306-4522/1873-7544,A2
Cell Death Discovery,1.361 ,Q2,21,96,319,https://www.nature.com/cddiscovery/,2058-7716,A2
International Journal of Cell Biology,1.355 ,Q2,48,5,20,https://www.hindawi.com/journals/ijcb/,1687-8876/1687-8884,A2
Gene Therapy,1.340 ,Q2,156,60,268,https://www.nature.com/gt/,0969-7128/1476-5462,A1
Cellular Signalling,1.337 ,Q2,145,221,623,https://www.journals.elsevier.com/cellular-signalling,0898-6568/1873-3913,A2
Cancer Causes and Control,1.332 ,Q2,130,136,427,https://www.springer.com/journal/10552,0957-5243/1573-7225,A2
