Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,41.022,Q1,138,4,11,https://www.cdc.gov/mmwr/indrr_2020.html,Sin informacion,No
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,20.617,Q1,95,12,50,https://www.cdc.gov/mmwr/indss_2020.html,Sin informacion,No
Administrative Science Quarterly,11.493,Q1,175,42,77,https://journals.sagepub.com/home/asq,0001-8392/1930-3815,A1
Nature Climate Change,7.735 ,Q1,160,285,807,https://www.nature.com/nclimate/,1758-678X/1758-6798,A1
Journal of Consumer Research,7.595 ,Q1,167,47,189,http://www.ejcr.org/,0093-5301/1537-5277,A1
Review of Economics and Statistics,7.538 ,Q1,153,55,205,http://www.mitpressjournals.org/loi/rest,0034-6535/1530-9142,A1
Review of Educational Research,7.474 ,Q1,140,23,92,https://journals.sagepub.com/home/rer,0034-6543/1935-1046,A1
American Journal of Political Science,7.131 ,Q1,161,87,205,https://onlinelibrary.wiley.com/journal/15405907,0092-5853/1540-5907,A1
MMWR. Morbidity and mortality weekly report,6.942 ,Q1,195,332,1240,http://www.cdc.gov/mmwr/,Sin informacion,No
Analytic Methods in Accident Research,6.091 ,Q1,30,18,54,https://www.journals.elsevier.com/analytic-methods-in-accident-research,2213-6657/2213-6665,A1
American Sociological Review,5.992 ,Q1,185,42,142,https://journals.sagepub.com/loi/asra,0003-1224/1939-8271,A1
American Political Science Review,5.872 ,Q1,167,100,189,https://www.cambridge.org/core/journals/american-political-science-review,0003-0554/1537-5943,A1
International Organization,4.850 ,Q1,140,32,93,https://www.cambridge.org/core/journals/international-organization,0020-8183/1531-5088,A1
Leadership Quarterly,4.694 ,Q1,144,67,158,https://www.journals.elsevier.com/the-leadership-quarterly,1048-9843/1873-3409,A1
Progress in Human Geography,4.568 ,Q1,138,127,165,https://journals.sagepub.com/home/phg,0309-1325/1477-0288,A1
Journal of Personality and Social Psychology,4.539 ,Q1,351,182,341,https://www.apa.org/pubs/journals/psp/,0022-3514/1939-1315,A1
Annual Review of Criminology,4.381 ,Q1,11,22,24,https://www.annualreviews.org/journal/criminol,2572-4568,A1
Political Analysis,4.321 ,Q1,64,44,109,https://www.cambridge.org/core/journals/political-analysis,1047-1987/1476-4989,A1
Global Environmental Change,4.304 ,Q1,162,120,352,https://www.journals.elsevier.com/global-environmental-change,0959-3780/1872-9495,A1
Criminology,4.297 ,Q1,132,31,85,https://onlinelibrary.wiley.com/journal/17459125,0011-1384/1745-9125,A1
Journal of Politics,4.286 ,Q1,115,151,330,https://www.journals.uchicago.edu/journals/jop/about?mobileUi=0,0022-3816/1468-2508,A1
Internet and Higher Education,4.247 ,Q1,81,22,91,https://www.journals.elsevier.com/the-internet-and-higher-education,1096-7516/1873-5525,A1
The Lancet Planetary Health,4.205 ,Q1,23,146,245,https://www.thelancet.com/journals/lanplh/home,2542-5196,A1
Social Issues and Policy Review,4.061 ,Q1,32,9,26,https://spssi.onlinelibrary.wiley.com/journal/17512409,1751-2395/1751-2409,A1
Modern Language Journal,3.966 ,Q1,74,61,158,https://onlinelibrary.wiley.com/journal/15404781,0026-7902/1540-4781,A1
Sociology of Education,3.926 ,Q1,88,18,58,https://journals.sagepub.com/home/soe,0038-0407/1939-8573,A1
American Journal of Sociology,3.856 ,Q1,173,30,122,https://www.journals.uchicago.edu/toc/ajs/current,0002-9602/1537-5390,A1
World Bank Research Observer,3.834 ,Q1,61,10,26,https://academic.oup.com/wbro,0257-3032/1564-6971,A1
Structural Equation Modeling,3.822 ,Q1,91,93,190,https://www.tandfonline.com/toc/hsem20/current,1070-5511/1532-8007,A1
British Journal of Political Science,3.820 ,Q1,91,124,153,https://www.cambridge.org/core/journals/british-journal-of-political-science,0007-1234/1469-2112,A1
Economic Geography,3.790 ,Q1,79,22,66,https://www.sciencedirect.com/journal/ecosystem-services,0013-0095/1944-8287,A1
Educational Researcher,3.678 ,Q1,118,59,148,https://journals.sagepub.com/home/edr,0013-189X/1935-102X,A1
Journal of Organizational Behavior,3.606 ,Q1,164,73,238,https://onlinelibrary.wiley.com/journal/10991379,0894-3796/1099-1379,A1
Journal of Development Economics,3.585 ,Q1,133,89,277,https://www.sciencedirect.com/journal/journal-of-development-economics,0304-3878/1872-6089,A1
Political Behavior,3.581 ,Q1,63,110,147,https://www.springer.com/journal/11109,0190-9320/1573-6687,A1
WIREs Climate Change,3.527 ,Q1,65,55,163,https://onlinelibrary.wiley.com/journal/17577799,1757-7780/1757-7799,A1
Comparative Political Studies,3.500 ,Q1,102,78,193,https://journals.sagepub.com/home/cps,0010-4140/1552-3829,A1
Nature Sustainability,3.488 ,Q1,20,230,169,https://www.nature.com/natsustain/,2398-9629,A1
Economic Development and Cultural Change,3.483 ,Q1,67,34,76,https://www.journals.uchicago.edu/toc/edcc/current,0013-0079/1539-2988,A1
Political Communication,3.434 ,Q1,77,49,132,https://www.tandfonline.com/toc/upcp20/current,1058-4609/1091-7675,A1
Research Synthesis Methods,3.413 ,Q1,27,47,129,https://onlinelibrary.wiley.com/journal/17592887,1759-2879/1759-2887,A1
Journal of Advertising,3.373 ,Q1,101,45,122,https://www.tandfonline.com/loi/ujoa20,0091-3367/1557-7805,A1
Journal of Service Research,3.370 ,Q1,113,36,86,https://journals.sagepub.com/home/jsr,1094-6705/1552-7379,A1
"Transportation Research, Part C: Emerging Technologies",3.342 ,Q1,116,298,793,https://www.journals.elsevier.com/transportation-research-part-c-emerging-technologies,Sin informacion,No
European Journal of Political Research,3.327 ,Q1,90,85,143,https://ejpr.onlinelibrary.wiley.com/journal/14756765,0304-4130/1475-6765,A1
Journal of Public Administration Research and Theory,3.321 ,Q1,105,49,111,https://academic.oup.com/jpart,1053-1858/1477-9803,A1
Tobacco Control,3.318 ,Q1,117,277,518,http://tobaccocontrol.bmj.com/content/by/year,0964-4563/1468-3318,A1
Journal of Engineering Education,3.288 ,Q1,101,37,93,https://onlinelibrary.wiley.com/journal/21689830,1069-4730/2168-9830,A1
Journal of Educational Psychology,3.272 ,Q1,196,148,221,https://www.apa.org/pubs/journals/edu/,0022-0663/1939-2176,A1
Journal of Communication,3.259 ,Q1,122,25,175,https://onlinelibrary.wiley.com/journal/14602466,0021-9916/1460-2466,A1
Big Data and Society,3.249 ,Q1,30,48,149,https://journals.sagepub.com/home/bdsa,2053-9517,A1
