Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Journal of Clinical Ethics,0.252,Q4,33,44,114,http://www.clinicalethics.com/,1046-7890,B
Rehabilitation Oncology,0.22699999999999998,Q4,10,42,112,https://www.scimagojr.com/journalsearch.php?q=19700175030&tip=sid&clean=0,2168-3808/2381-2427,B
Research and theory for nursing practice,0.22699999999999998,Q4,40,32,92,http://www.springerpub.com/product/15416577,1541-6577/1945-7286,B
International Journal of Care Coordination,0.223,Q4,15,18,50,https://journals.sagepub.com/home/icp,2053-4345/2053-4353,B
"Nursing management (Harrow, London, England : 1994)",0.22,Q4,17,43,562,https://rcni.com/nursing-management,Sin informacion,No
Journal of law and medicine,0.213,Q4,18,65,208,http://sites.thomsonreuters.com.au/journals/category/journal-of-law-and-medicine/,1320-159X,B
Medecine Palliative,0.20600000000000002,Q4,11,59,135,http://www.elsevier.com/journals/medecine-palliative/1636-6522#,1636-6522,B
Cahiers de Nutrition et de Dietetique,0.204,Q4,12,44,114,http://www.elsevier.com/wps/find/journaldescription.cws_home/709628/description#description,0007-9960,B
International Journal for Vitamin and Nutrition Research,0.198,Q4,56,40,98,https://econtent.hogrefe.com/loi/vit,0300-9831/1664-2821,B
Anadolu Psikiyatri Dergisi,0.196,Q4,15,128,326,http://www.psikiyatridizini.org/journal_details.php?journalid=4,1302-6631,C
Critical Care Nursing Quarterly,0.195,Q4,33,53,134,https://journals.lww.com/ccnq/pages/default.aspx,0887-9303/1550-5111,C
Siglo Cero,0.18899999999999997,Q4,5,17,67,https://revistas.usal.es/index.php/0210-1696/index,0210-1696,B
Voprosy Detskoi Dietologii,0.18899999999999997,Q4,3,33,170,https://ores.su/en/journals/voprosyi-detskoj-dietologii/,1727-5784/2414-9519,B
Pediatric nursing,0.185,Q4,44,27,138,http://www.ajj.com/services/pblshng/pnj/,0097-9805,B
Nutricion Clinica y Dietetica Hospitalaria,0.18,Q4,11,50,264,http://www.nutricion.org/publicaciones/revista.htm,0211-6057/1989-208X,B
Malaysian Journal of Nutrition,0.179,Q4,25,49,160,https://www.scimagojr.com/journalsearch.php?q=9100153107&tip=sid&clean=0,1394-035X,C
Advances in Gerontology,0.177,Q4,7,70,170,https://www.scimagojr.com/journalsearch.php?q=21100228738&tip=sid&clean=0,2079-0570/2079-0589,C
Topics in Clinical Nutrition,0.177,Q4,12,32,100,http://www.lww.com/product/?0883-5691,0883-5691/1550-5146,C
Journal of Nursing,0.17600000000000002,Q4,13,79,271,http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=906,0047-262X,C
Pacific Rim International Journal of Nursing Research,0.17600000000000002,Q4,2,35,32,https://www.scimagojr.com/journalsearch.php?q=21100896370&tip=sid&clean=0,1906-8107/2586-8373,C
Gerontechnology,0.172,Q4,16,21,139,https://www.scimagojr.com/journalsearch.php?q=19900193807&tip=sid&clean=0,1569-1101/1569-111X,C
Pakistan Journal of Nutrition (discontinued),0.172,Q4,35,1,401,https://www.scimagojr.com/journalsearch.php?q=4400151521&tip=sid&clean=0,Sin informacion,No
Kontakt,0.17,Q4,7,46,137,https://kont.zsf.jcu.cz/,1212-4117/1804-7122,A2
Malaysian Family Physician,0.16699999999999998,Q4,12,50,85,http://www.e-mfp.org/,1985-207X,B
Aquichan,0.166,Q4,7,35,112,https://www.scimagojr.com/journalsearch.php?q=19900193899&tip=sid&clean=0,Sin informacion,No
"Egyptian Journal of Neurology, Psychiatry and Neurosurgery",0.162,Q4,8,49,93,https://ejnpn.springeropen.com/,Sin informacion,No
Mental Health Practice,0.162,Q4,2,0,1,https://rcni.com/mental-health-practice,Sin informacion,No
Nurse Practitioner,0.16,Q4,21,126,294,http://journals.lww.com/tnpj/pages/default.aspx,0361-1817/1538-8662,C
"Journal of the Egyptian Public Health Association, The",0.159,Q4,15,14,58,http://www.epha.eg.net/,Sin informacion,No
European Journal of Mental Health,0.158,Q4,8,11,37,http://semmelweis.hu/ejmh/,1788-4934/1788-7119,C
Progress in Neurology and Psychiatry,0.158,Q4,11,31,110,http://www3.interscience.wiley.com/journal/112695274/home,1367-7543/1931-227X,C
BMJ Leader,0.157,Q4,2,21,59,https://bmjleader.bmj.com/,2398-631X,C
Child Health Nursing Research,0.157,Q4,1,53,52,https://www.e-chnr.org/,2287-9110/2287-9129,C
Mediterranean Journal of Nutrition and Metabolism,0.157,Q4,17,36,65,https://www.iospress.nl/journal/mediterranean-journal-of-nutrition-and-metabolism/,1973-798X/1973-7998,C
Pflege,0.157,Q4,12,51,164,http://www.verlag-hanshuber.com/zeitschriften/journal.php?abbrev=PFL,1012-5302/1664-283X,C
Revista Chilena de Nutricion,0.156,Q4,16,73,169,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-7518&lng=en&nrm=iso,0716-1549/0717-7518,C
Tijdschrift voor Gerontologie en Geriatrie,0.156,Q4,18,12,88,https://www.scimagojr.com/journalsearch.php?q=12411&tip=sid&clean=0,0167-9228/0770-9056,C
Education and Health,0.155,Q4,11,4,65,http://www.educationforhealth.net/home/defaultnew.asp,0265-1602,C
International Journal of Probiotics and Prebiotics,0.155,Q4,14,0,40,https://www.nchpjournals.com/Journal,1555-1431,C
Journal of Korean Academy of Community Health Nursing,0.155,Q4,3,53,99,https://jkachn.org/,1225-9594/2288-4203,C
Archivos Latinoamericanos de Nutricion,0.152,Q4,32,7,118,http://www.alanrevista.org/,0004-0622/2309-5806,C
"International Journal of Nutrition, Pharmacology, Neurological Diseases",0.151,Q4,5,12,53,http://www.ijnpnd.com/,Sin informacion,No
Progress in Nutrition,0.15,Q4,8,222,275,http://www.mattioli1885.com/periodici/progress_in_nutrition.html,1129-8723,C
Obesity and Metabolism,0.149,Q4,4,41,117,https://endojournals.ru/index.php/omet,2071-8713/2306-5524,C
Revista Espanola de Nutricion Humana y Dietetica,0.149,Q4,9,85,192,http://www.renhyd.org/index.php/renhyd,2173-1292/2174-5145,C
Soins Pediatrie/Puericulture,0.149,Q4,3,70,217,http://www.elsevier.com/wps/find/journaldescription.cws_home/709694/description#description,Sin informacion,No
Ernahrungs Umschau,0.147,Q4,13,52,290,https://www.scimagojr.com/journalsearch.php?q=38677&tip=sid&clean=0,0340-2371,C
Enfermeria Global,0.146,Q4,6,80,219,https://revistas.um.es/eglobal,1695-6141,C
Journal of Pharmacy and Nutrition Sciences,0.146,Q4,9,11,69,https://www.scimagojr.com/journalsearch.php?q=21100237602&tip=sid&clean=0,1927-5951/2223-3806,B
Nursing older people,0.145,Q4,19,101,527,http://nursingolderpeople.rcnpublishing.co.uk/,1472-0795,C
Soins; la revue de reference infirmiere,0.14400000000000002,Q4,5,154,480,http://www.elsevier.com/wps/find/journaldescription.cws_home/709688/description#description,Sin informacion,No
Journal of Health and Human Services Administration,0.14300000000000002,Q4,20,11,52,http://www.spaef.com/jhhsa.php,1079-3739,C
British Journal of Health Care Management,0.14,Q4,15,91,346,http://www.bjhcm.co.uk/,1358-0574,C
Practice Nurse,0.14,Q4,5,49,192,https://www.scimagojr.com/journalsearch.php?q=12100155426&tip=sid&clean=0,Sin informacion,No
Asian Journal of Clinical Nutrition (discontinued),0.139,Q4,11,0,31,https://www.scimagojr.com/journalsearch.php?q=17100154710&tip=sid&clean=0,Sin informacion,No
Revista Cientifica de la Sociedad Espanola de Enfermeria Neurologica,0.139,Q4,3,19,36,https://www.scimagojr.com/journalsearch.php?q=20600195601&tip=sid&clean=0,2013-5246/2173-9153,C
Ciencia y Enfermeria,0.138,Q4,13,22,89,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-9553&lng=en&nrm=iso,0717-2079/0717-9553,C
FMC Formacion Medica Continuada en Atencion Primaria,0.138,Q4,6,150,557,http://www.elsevier.com/wps/find/journaldescription.cws_home/718568/description#description,1134-2072,C
Cogitare Enfermagem,0.13699999999999998,Q4,2,86,102,http://www.saude.ufpr.br/portal/revistacogitare/,1414-8536,C
Ethik in der Medizin,0.13699999999999998,Q4,11,39,108,http://www.springer.com/medicine/journal/481,0935-7335/1437-1618,B
Sante Mentale au Quebec,0.13699999999999998,Q4,11,8,95,http://www.santementaleauquebec.ca/spip.php?rubrique2&lang=en,0383-6320/1708-3923,C
Aktuelle Ernahrungsmedizin Klinik und Praxis,0.136,Q4,17,100,130,http://www.thieme.de/fz/akternmed/index.html,0341-0501/1438-9916,C
Medecine Intensive Reanimation,0.134,Q4,1,48,63,https://www.scimagojr.com/journalsearch.php?q=21100886212&tip=sid&clean=0,2496-6142,C
Soins Gerontologie,0.134,Q4,5,70,207,http://www.elsevier.com/wps/find/journaldescription.cws_home/709696/description#description,1268-6034,C
Nutrition Clinique et Metabolisme,0.133,Q4,14,28,110,https://www.journals.elsevier.com/nutrition-clinique-et-metabolisme,0985-0562/1768-3092,C
Soins Aides - Soignantes,0.131,Q4,3,67,193,http://www.elsevier.com/wps/find/journaldescription.cws_home/709700/description#description,Sin informacion,No
International Public Health Journal,0.129,Q4,1,0,9,https://novapublishers.com/shop/international-public-health-journal/,Sin informacion,No
Annals of Long-Term Care,0.128,Q4,16,0,115,https://geriatricscareonline.org/ProductAbstract/annals_of_long-term_care/J004,Sin informacion,No
International Journal of Healthcare Technology and Management,0.128,Q4,17,4,37,http://www.inderscience.com/browse/index.php?journalID=16,1368-2156/1741-5144,C
Inter Bloc,0.125,Q4,2,47,141,http://www.elsevier.com/wps/find/journaldescription.cws_home/709661/description#description,0242-3960,C
International Journal of Nursing Education,0.125,Q4,1,0,1,http://www.ijone.org/index.html,Sin informacion,No
Primary Health Care,0.125,Q4,0,0,1,https://www.scimagojr.com/journalsearch.php?q=21100932740&tip=sid&clean=0,0264-5033/2047-900X,C
Sestrinski Glasnik,0.125,Q4,0,0,1,https://hrcak.srce.hr/sgnj,Sin informacion,No
Aide Soignante,0.124,Q4,2,107,256,http://www.elsevier.com/wps/find/journaldescription.cws_home/621373/description#description,1166-3413,C
Nursing History Review,0.124,Q4,12,60,37,https://www.springerpub.com/nursing-history-review.html,1062-8061,C
Nosileftiki,0.12300000000000001,Q4,4,33,96,http://www.hjn.gr/en/,1105-6843,C
Online Brazilian Journal of Nursing,0.12300000000000001,Q4,8,0,158,http://www.objnursing.uff.br/index.php/nursing,1676-4285,C
International Journal on Disability and Human Development,0.122,Q4,24,2,158,http://www.freundpublishing.com/Disability%20and%20Human%20Development/IJHDHAimsScope.htm,2191-0367/2191-1231,C
Anales Venezolanos de Nutricion (discontinued),0.121,Q4,8,0,12,https://www.scimagojr.com/journalsearch.php?q=10600153357&tip=sid&clean=0,Sin informacion,No
Nursing times,0.12,Q4,25,0,428,http://www.nursingtimes.net/,Sin informacion,No
OT Practice,0.12,Q4,8,8,305,http://www.aota.org/Pubs/OTP.aspx,1084-4902,C
Journal of Dementia Care (discontinued),0.11900000000000001,Q4,13,0,103,http://www.socialcareonline.org.uk/profile.asp?guid=b92679d1-2ece-4609-881f-13e2c50b6848,Sin informacion,No
Africa Journal of Nursing and Midwifery,0.11699999999999999,Q4,7,28,107,http://www.journals.co.za/ej/ejour_ajnm.html,1682-5055,C
Contemporary Ob/Gyn,0.11699999999999999,Q4,9,34,216,http://contemporaryobgyn.modernmedicine.com/obgyn/issue/issueList.jsp?id=464,Sin informacion,No
HIV Nursing,0.11599999999999999,Q4,4,24,48,https://www.scimagojr.com/journalsearch.php?q=4200151512&tip=sid&clean=0,1474-7359,C
Nursing Critical Care,0.11599999999999999,Q4,4,31,153,https://www.scimagojr.com/journalsearch.php?q=21100204108&tip=sid&clean=0,1558-447X,C
Rawal Medical Journal,0.11599999999999999,Q4,8,194,493,https://www.rmj.org.pk/,0303-5212,C
ACORN,0.115,Q4,7,0,101,https://www.journal.acorn.org.au/jpn/,1448-7535,C
"Nursing New Zealand (Wellington, N.Z. : 1995)",0.115,Q4,7,181,556,http://www.moh.govt.nz/nursing,Sin informacion,No
