Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Quarterly Journal of Economics,36.220,Q1,246,30,123,http://www.mitpressjournals.org/loi/qjec,0033-5533/1531-4650,A1
Journal of Political Economy,21.239,Q1,179,79,185,https://www.journals.uchicago.edu/toc/jpe/current,0022-3808/1537-534X,A1
Journal of Finance,17.134,Q1,285,78,206,https://onlinelibrary.wiley.com/journal/15406261,0022-1082/1540-6261,A1
Econometrica,14.563,Q1,179,61,186,https://onlinelibrary.wiley.com/journal/14680262,0012-9682/1468-0262,A1
Review of Economic Studies,14.235,Q1,133,78,162,https://academic.oup.com/restud,0034-6527/1467-937X,A1
American Economic Review,13.773,Q1,277,117,647,https://www.aeaweb.org/journals/aer,0002-8282/1944-7981,A1
Review of Financial Studies,12.837,Q1,174,96,335,https://academic.oup.com/rfs,0893-9454/1465-7368,A1
Journal of Financial Economics,11.999,Q1,240,148,360,http://jfe.rochester.edu/index.htm,0304-405X,A1
Journal of Labor Economics,11.572,Q1,102,50,128,https://www.journals.uchicago.edu/toc/jole/current,0734-306X/1537-5307,A1
American Economic Journal: Applied Economics,10.788,Q1,74,46,125,https://www.aeaweb.org/journals/app/about-app,Sin informacion,No
Journal of Economic Literature,9.677 ,Q1,153,21,97,https://www.aeaweb.org/journals/jel,0022-0515/2328-8175,A1
Journal of Economic Perspectives,8.761 ,Q1,185,45,144,https://www.aeaweb.org/journals/jep,0895-3309/1944-7965,A1
Journal of Marketing,8.626 ,Q1,233,49,147,https://www.ama.org/journal-of-marketing/,0022-2429/1547-7185,A1
Annual Review of Economics,7.907 ,Q1,46,35,66,https://www.annualreviews.org/journal/economics,1941-1383/1941-1391,A1
Journal of the European Economic Association,7.832 ,Q1,84,55,128,https://academic.oup.com/jeea,1542-4766/1542-4774,A1
American Economic Journal: Macroeconomics,7.711 ,Q1,54,40,94,https://www.aeaweb.org/journals/mac/about-mac,Sin informacion,No
Journal of Consumer Research,7.595 ,Q1,167,47,189,http://www.ejcr.org/,0093-5301/1537-5277,A1
American Economic Journal: Economic Policy,7.548 ,Q1,56,29,139,https://www.aeaweb.org/journals/pol,Sin informacion,No
Review of Economics and Statistics,7.538 ,Q1,153,55,205,http://www.mitpressjournals.org/loi/rest,0034-6535/1530-9142,A1
Journal of Marketing Research,7.325 ,Q1,159,10,182,https://journals.sagepub.com/home/mrj,0022-2437/1547-7193,A1
Brookings Papers on Economic Activity,7.172 ,Q1,80,6,45,https://www.brookings.edu/project/brookings-papers-on-economic-activity/,0007-2303/1533-4465,A1
Marketing Science,7.172 ,Q1,120,52,162,https://pubsonline.informs.org/journal/mksc,0732-2399/1526-548X,A1
Journal of Accounting Research,6.996 ,Q1,132,32,100,https://onlinelibrary.wiley.com/journal/1475679x,0021-8456/1475-679X,A1
Journal of Management,6.982 ,Q1,208,140,295,https://journals.sagepub.com/home/jom,0149-2063/1557-1211,A1
Journal of Economic Growth,6.666 ,Q1,80,12,39,https://www.springer.com/journal/10887,1381-4338/1573-7020,A1
Journal of Accounting and Economics,5.821 ,Q1,143,48,135,https://www.journals.elsevier.com/journal-of-accounting-and-economics,0165-4101/1879-1980,A1
Theoretical Economics,5.672 ,Q1,28,40,119,https://econtheory.org/,1555-7561/1933-6837,A1
Journal of Monetary Economics,5.474 ,Q1,121,168,184,https://www.journals.elsevier.com/journal-of-monetary-economics,0304-3932/1873-1295,A1
Economic Journal,5.453 ,Q1,153,109,341,https://onlinelibrary.wiley.com/journal/14680297,0013-0133/1468-0297,A1
Accounting Review,5.446 ,Q1,143,77,223,http://aaahq.org/pubs/acctrev.htm,0001-4826/1558-7967,A1
Journal of the Academy of Marketing Science,5.309 ,Q1,159,94,171,https://www.springer.com/journal/11747,0092-0703/1552-7824,A1
Review of Corporate Finance Studies,5.181 ,Q1,12,11,27,https://academic.oup.com/rcfs,2046-9128/2046-9136,A1
Journal of International Business Studies,4.994 ,Q1,184,94,185,http://www.jibs.net/,0047-2506/1478-6990,A1
Review of Environmental Economics and Policy,4.923 ,Q1,48,23,67,https://academic.oup.com/reep,1750-6816/1750-6824,A1
Journal of Human Resources,4.777 ,Q1,98,16,96,http://jhr.uwpress.org/,0022-166X/1548-8004,A1
Journal of Financial Intermediation,4.747 ,Q1,72,45,82,https://www.journals.elsevier.com/journal-of-financial-intermediation,1042-9573/1096-0473,A1
Journal of the Association of Environmental and Resource Economists,4.310 ,Q1,16,29,96,https://www.journals.uchicago.edu/toc/jaere/current,2333-5955/2333-5963,A1
IMF Economic Review,4.268 ,Q1,67,26,76,https://www.palgrave.com/gp/journal/41308,Sin informacion,No
Quantitative Economics,4.126 ,Q1,23,47,97,http://qeconomics.org/ojs/index.php/qe/issue/current,1759-7323/1759-7331,A1
Journal of Supply Chain Management,3.983 ,Q1,86,17,63,https://onlinelibrary.wiley.com/journal/1745493x,1523-2409,A1
Annual Review of Financial Economics,3.920 ,Q1,27,12,47,https://www.annualreviews.org/journal/financial,1941-1367/1941-1375,A1
Journal of Public Economics,3.917 ,Q1,134,102,350,https://www.journals.elsevier.com/journal-of-public-economics,0047-2727,A1
Economic Policy,3.916 ,Q1,71,3,57,https://academic.oup.com/economicpolicy,0266-4658/1468-0327,A1
World Bank Research Observer,3.834 ,Q1,61,10,26,https://academic.oup.com/wbro,0257-3032/1564-6971,A1
Structural Equation Modeling,3.822 ,Q1,91,93,190,https://www.tandfonline.com/toc/hsem20/current,1070-5511/1532-8007,A1
American Economic Journal: Microeconomics,3.792 ,Q1,34,30,136,https://www.aeaweb.org/journals/mic,Sin informacion,No
Economic Geography,3.790 ,Q1,79,22,66,https://www.sciencedirect.com/journal/ecosystem-services,0013-0095/1944-8287,A1
Review of Economic Dynamics,3.777 ,Q1,59,59,140,https://www.journals.elsevier.com/review-of-economic-dynamics,1094-2025/1096-6099,A1
Journal of International Economics,3.774 ,Q1,128,79,280,https://www.journals.elsevier.com/journal-of-international-economics,0022-1996/1873-0353,A1
Review of Finance,3.647 ,Q1,53,26,192,https://academic.oup.com/rof,1572-3097/1573-692X,A1
Journal of Development Economics,3.585 ,Q1,133,89,277,https://www.sciencedirect.com/journal/journal-of-development-economics,0304-3878/1872-6089,A1
Entrepreneurship: Theory and Practice,3.566 ,Q1,140,86,138,https://journals.sagepub.com/home/etpb,Sin informacion,No
Journal of Financial and Quantitative Analysis,3.503 ,Q1,110,141,267,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis,0022-1090/1756-6916,A1
RAND Journal of Economics,3.496 ,Q1,103,36,118,https://onlinelibrary.wiley.com/journal/17562171,0741-6261/1756-2171,A1
Economic Development and Cultural Change,3.483 ,Q1,67,34,76,https://www.journals.uchicago.edu/toc/edcc/current,0013-0079/1539-2988,A1
