Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Transportmetrica B,1.042,Q2,19,83,59,https://www.tandfonline.com/toc/ttrb20/1/1,2168-0566/2168-0582,A1
Transportmetrica A: Transport Science,0.976,Q2,34,87,134,https://www.tandfonline.com/loi/ttra21,Sin informacion,No
Research in Transportation Business and Management,0.938,Q2,27,35,119,https://www.journals.elsevier.com/research-in-transportation-business-and-management,2210-5395/2210-5409,A1
Emerging Adulthood,0.865,Q2,24,85,139,https://www.scimagojr.com/journalsearch.php?q=21100305282&tip=sid&clean=0,2167-6968/2167-6984,A2
Research in Transportation Economics,0.852,Q2,39,73,213,https://www.sciencedirect.com/journal/research-in-transportation-economics,Sin informacion,No
Maritime Economics and Logistics,0.8140000000000001,Q2,45,49,103,http://www.palgrave-journals.com/mel/index.html,1479-2931/1479-294X,A1
Journal of Child and Family Studies,0.7929999999999999,Q2,70,363,1001,http://www.springer.com/psychology/child+%26+school+psychology/journal/10826,1062-1024/1573-2843,A2
Transportation Journal,0.792,Q2,36,14,67,http://www.psupress.org/Journals/jnls_transportation_journal.html,0041-1612/2157-328X,A2
Advances in Life Course Research,0.768,Q2,30,2,83,http://www.elsevier.com/wps/find/journaldescription.cws_home/717637/description#description,1040-2608,A2
International Journal of Rail Transportation,0.758,Q2,18,30,43,https://www.tandfonline.com/toc/tjrt20/current,2324-8378/2324-8386,A1
Transportation Letters,0.727,Q2,20,109,84,https://www.scimagojr.com/journalsearch.php?q=21100255479&tip=sid&clean=0,1942-7867/1942-7875,A2
Journal of Hispanic Higher Education,0.7190000000000001,Q2,30,53,73,http://jhh.sagepub.com/,1538-1927/1552-5716,A2
European Policy Analysis,0.7120000000000001,Q2,10,21,57,https://www.scimagojr.com/journalsearch.php?q=21100886407&tip=sid&clean=0,2380-6567,A2
European Journal of Higher Education,0.7090000000000001,Q2,13,31,89,https://www.tandfonline.com/loi/rehe20,2156-8235/2156-8243,A2
Journal for the Education of the Gifted,0.7070000000000001,Q2,31,16,55,https://journals.sagepub.com/home/jeg,0162-3532/2162-9501,A2
Journal of Information Technology Education:Research,0.7070000000000001,Q2,17,13,73,https://www.informingscience.org/Journals/JITEResearch/Overview,Sin informacion,No
European Transport Research Review,0.7040000000000001,Q2,22,50,147,https://www.scimagojr.com/journalsearch.php?q=19400158557&tip=sid&clean=0,1866-8887/1867-0717,A1
European Journal of Engineering Education,0.7020000000000001,Q2,41,90,208,http://www.informaworld.com/smpp/title~content=t713415994~db=all,0304-3797/1469-5898,A1
"Learning, Culture and Social Interaction",0.6970000000000001,Q2,17,105,126,https://www.scimagojr.com/journalsearch.php?q=21100206602&tip=sid&clean=0,Sin informacion,No
Journal of Transport Economics and Policy,0.695,Q2,52,13,47,http://www.bath.ac.uk/e-journals/jtep/,0022-5258/1754-5951,A2
Journal of Deaf Studies and Deaf Education,0.6940000000000001,Q2,55,39,112,http://jdsde.oxfordjournals.org/,1081-4159/1465-7325,A2
Australian Journal of Education,0.691,Q2,33,21,63,http://www.acer.edu.au/aje/,0004-9441/2050-5884,A2
Research and Practice in Technology Enhanced Learning,0.691,Q2,11,26,67,https://www.scimagojr.com/journalsearch.php?q=21100899309&tip=sid&clean=0,1793-7078,A1
American Journal of Men's Health,0.6890000000000001,Q2,31,153,467,http://jmh.sagepub.com/,Sin informacion,No
Periodico Tche Quimica,0.6890000000000001,Q2,11,265,230,http://www.journal.tchequimica.com/,1806-0374/2179-0302,A1
Longitudinal and Life Course Studies,0.688,Q2,12,28,88,https://www.scimagojr.com/journalsearch.php?q=21100305001&tip=sid&clean=0,1757-9597,A2
