Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
International Journal of Offender Therapy and Comparative Criminology,0.639,Q2,57,162,423,http://hij.sagepub.com/,0306-624X/1552-6933,A2
Behaviour and Information Technology,0.638,Q2,71,176,283,https://www.tandfonline.com/loi/tbit20,0144-929X/1362-3001,A1
Psicologica,0.638,Q2,18,0,42,http://www.uv.es/psicologica/,0211-2159/1576-8597,A2
"Culture, Medicine and Psychiatry",0.629,Q2,54,47,117,http://www.springer.com/sociology/journal/11013,Sin informacion,No
Psychoanalytic Quarterly,0.623,Q2,38,32,123,https://www.scimagojr.com/journalsearch.php?q=13422&tip=sid&clean=0,0033-2828/2167-4086,A2
Business and Professional Communication Quarterly,0.589,Q2,33,27,87,https://journals.sagepub.com/home/bcq,2329-4906/2329-4922,A1
Ancient Mesoamerica,0.5820000000000001,Q2,37,52,89,http://journals.cambridge.org/action/displayJournal?jid=ATM,0956-5361/1469-1787,A2
Group Decision and Negotiation,0.5770000000000001,Q2,57,49,159,http://www.springer.com/business+%26+management/operations+research/journal/10726#,0926-2644/1572-9907,A1
Human Ecology,0.5760000000000001,Q2,67,74,210,http://www.springer.com/sociology/journal/10745,1728-0869,B
Australian Psychologist,0.573,Q2,44,71,169,http://www.informaworld.com/smpp/title~content=t713740458~db=all,0005-0067/1742-9544,A2
Journal of Comparative Germanic Linguistics,0.5710000000000001,Q2,14,9,25,http://www.springer.com/education+%26+language/linguistics/journal/10828,1383-4924/1572-8552,A1
American Anthropologist,0.569,Q2,80,126,266,http://www.wiley.com/bw/aims.asp?ref=0002-7294&site=1,0002-7294/0364-9873,A1
Ethnos,0.569,Q2,40,99,154,https://www.tandfonline.com/toc/retn20/current,0014-1844/1469-588X,A1
Journal of Material Culture,0.5670000000000001,Q2,45,30,72,http://mcu.sagepub.com/,1359-1835/1460-3586,A1
Cross-Cultural Research,0.561,Q2,38,20,62,http://ccr.sagepub.com/,Sin informacion,No
Communications,0.56,Q2,32,38,87,http://www.degruyter.de/journals/communic/detailEn.cfm,0341-2059/1613-4087,A2
Psychological Record,0.56,Q2,48,44,162,https://www.scimagojr.com/journalsearch.php?q=13464&tip=sid&clean=0,0033-2933/2163-3452,A2
Archaeological Dialogues,0.555,Q2,28,18,53,http://journals.cambridge.org/action/displayJournal?jid=ARD,1380-2038/1478-2294,A1
Journal of Social Archaeology,0.545,Q2,33,20,47,http://jsa.sagepub.com/,1469-6053/1741-2951,A1
Journal of Urban Design,0.544,Q2,41,71,174,https://www.tandfonline.com/toc/cjud20/current,1357-4809/1469-9664,A2
Behavioral Interventions,0.5329999999999999,Q2,32,44,104,http://www3.interscience.wiley.com/journal/24375/home,1072-0847/1099-078X,A2
Africa,0.532,Q2,40,47,129,https://www.cambridge.org/core/journals/africa,0001-9720/1750-0184,A1
Ethos,0.523,Q2,42,32,85,http://www.wiley.com/bw/journal.asp?ref=0091-2131&site=1,0091-2131/1548-1352,A1
Experimental Aging Research,0.512,Q2,47,31,96,http://www.informaworld.com/smpp/title~content=t713722867~db=all,0361-073X/1096-4657,A2
Identities,0.509,Q2,36,70,145,https://www.tandfonline.com/toc/gide20/current,1070-289X/1547-3384,A1
Journal of Cognition and Culture,0.494,Q2,37,23,69,http://www.brill.nl/default.aspx?partid=212&pid=9570,1567-7095/1568-5373,A1
Death Studies,0.49200000000000005,Q2,64,190,227,http://www.informaworld.com/smpp/title~content=t713657620~db=all,0748-1187/1091-7683,A2
Visual Anthropology Review,0.488,Q2,17,13,52,https://www.scimagojr.com/journalsearch.php?q=12100156149&tip=sid&clean=0,1058-7187/1548-7458,A1
Nations and Nationalism,0.48,Q2,42,84,157,https://onlinelibrary.wiley.com/journal/14698129,1354-5078/1469-8129,A1
Journal of Latin American Studies,0.473,Q2,41,28,83,http://journals.cambridge.org/action/displayJournal?jid=LAS,0022-216X/1469-767X,A2
Space and Culture,0.466,Q2,34,70,139,http://sac.sagepub.com/,1206-3312/1552-8308,A1
Journal of Southern African Studies,0.45899999999999996,Q2,44,63,215,http://www.informaworld.com/smpp/title~content=t713436095~db=all,0305-7070/1465-3893,A2
Nordic Journal of Music Therapy,0.45399999999999996,Q2,21,34,88,https://www.tandfonline.com/toc/rnjm20/current,0809-8131/1944-8260,A1
Tumu Gongcheng Xuebao/China Civil Engineering Journal,0.452,Q2,32,179,655,http://manu36.magtech.com.cn/Jwk_tmgcxb/CN/volumn/volumn_1139.shtml,Sin informacion,No
Feminist Review,0.42700000000000005,Q2,43,34,102,https://journals.sagepub.com/home/fer,0141-7789/1466-4380,A2
Laterality,0.42700000000000005,Q2,45,46,131,http://www.informaworld.com/smpp/title~content=t713683105~db=all,1357-650X/1464-0678,A2
China Information,0.42,Q2,22,19,57,http://cin.sagepub.com/,0920-203X/1741-590X,A1
Logopedics Phoniatrics Vocology,0.42,Q2,33,36,67,http://informahealthcare.com/loi/log,1401-5439/1651-2022,A2
"Media, War and Conflict",0.419,Q2,18,63,67,http://mwc.sagepub.com/,Sin informacion,No
Palgrave Communications,0.41600000000000004,Q2,13,153,414,https://www.scimagojr.com/journalsearch.php?q=21100873453&tip=sid&clean=0,2055-1045,A2
Educational Philosophy and Theory,0.40299999999999997,Q2,43,214,595,https://www.tandfonline.com/loi/rept20,0013-1857/1469-5812,A2
Journal of Management History,0.401,Q2,20,34,78,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jmh,1751-1348/1758-7751,A2
American Journal of Psychology,0.39799999999999996,Q2,42,27,103,https://www.press.uillinois.edu/journals/ajp.html,0002-9556/1939-8298,A2
Global Media and Communication,0.397,Q2,21,21,56,http://gmc.sagepub.com/,1742-7665/1742-7673,A2
Anthropology and Medicine,0.396,Q2,30,34,76,http://www.informaworld.com/smpp/title~content=t713405391~db=all,1364-8470/1469-2910,A2
Neurocase,0.38,Q2,63,36,177,http://www.informaworld.com/smpp/title~content=t713658146~db=all,1355-4794/1465-3656,A2
Daedalus,0.374,Q2,53,43,156,http://www.mitpressjournals.org/loi/daed,0011-5266/1548-6192,A2
Human Organization,0.365,Q2,51,29,97,http://www.sfaa.net/ho/main/recentback.html,0018-7259/1938-3517,A2
Journal of Anthropological Research,0.364,Q2,35,15,59,https://www.journals.uchicago.edu/toc/jar/current,0091-7710/2153-3806,A2
Colonial Latin American Review,0.361,Q2,11,27,81,http://www.informaworld.com/smpp/title~content=t713410828~db=all,1060-9164/1466-1802,A2
Ethnography,0.361,Q2,44,56,110,https://journals.sagepub.com/home/eth,1466-1381/1741-2714,A1
Polar Journal,0.36,Q2,13,34,94,https://www.tandfonline.com/toc/rpol20/current,2154-896X/2154-8978,A2
Critique of Anthropology,0.359,Q2,42,24,74,http://coa.sagepub.com/,0308-275X/1460-3721,A2
Journal of Communication Inquiry,0.35700000000000004,Q2,29,24,74,http://jci.sagepub.com/,0196-8599,A1
Medical Problems of Performing Artists,0.35600000000000004,Q2,31,34,117,http://www.sciandmed.com/mppa/,0885-1158/1938-2766,A2
"Historia, Ciencias, Saude - Manguinhos",0.355,Q2,17,101,287,http://www.revistahcsm.coc.fiocruz.br/english/,Sin informacion,No
International Journal of Cross Cultural Management,0.35,Q2,45,19,63,http://ccm.sagepub.com/,1470-5958/1741-2838,A1
Anthropological Quarterly,0.34600000000000003,Q2,43,38,105,http://muse.jhu.edu/journals/anq/,0003-5491/1534-1518,A2
L'Encephale,0.345,Q2,46,118,331,http://www.elsevier.com/wps/find/journaldescription.cws_home/709657/description#description,Sin informacion,No
Arts and Health,0.342,Q2,14,34,71,https://www.scimagojr.com/journalsearch.php?q=21100208033&tip=sid&clean=0,1753-3015/1753-3023,A2
SAGE Open,0.324,Q2,25,392,945,https://journals.sagepub.com/home/sgo,2158-2440,A2
Kennedy Institute of Ethics Journal,0.32,Q2,40,24,77,https://www.press.jhu.edu/journals/kennedy-institute-ethics-journal,1054-6863/1086-3249,A2
Arabian Archaeology and Epigraphy,0.319,Q2,17,29,50,http://www.wiley.com/bw/journal.asp?ref=0905-7196&site=1,0905-7196/1600-0471,A1
Mana: Estudos de Antropologia Social,0.319,Q2,11,30,84,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-9313&lng=en&nrm=iso,Sin informacion,No
Perspectives in Biology and Medicine,0.318,Q2,47,47,170,http://muse.jhu.edu/journals/perspectives_in_biology_and_medicine/,0031-5982/1529-8795,A2
Journal of Futures Studies,0.306,Q2,16,46,100,http://www.jfs.tku.edu.tw/,1027-6084,A2
Slavic Review,0.306,Q2,34,13,139,http://www.slavicreview.illinois.edu/,0037-6779/2325-7784,A1
Journal of the International Association for Shell and Spatial Structures,0.301,Q2,21,18,82,http://www.iass-structures.org/index.cfm/journal.home,1028-365X/1996-9015,A2
