Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Journal of Electromyography and Kinesiology,0.659,Q3,94,112,362,https://www.journals.elsevier.com/journal-of-electromyography-and-kinesiology,1050-6411/1873-5711,A2
Journal of Sports Economics,0.6559999999999999,Q3,44,46,130,https://journals.sagepub.com/home/jse,1527-0025/1552-7794,A1
Sport Psychologist,0.614,Q3,66,16,103,https://journals.humankinetics.com/view/journals/tsp/tsp-overview.xml,0888-4781/1543-2793,A2
BioMedical Engineering Online,0.578,Q3,70,124,492,https://biomedical-engineering-online.biomedcentral.com/,1475-925X,A2
Journal of Ultrasound in Medicine,0.578,Q3,86,367,1003,https://onlinelibrary.wiley.com/journal/15509613,0278-4297/1550-9613,A2
Echo Research and Practice,0.546,Q3,10,38,83,https://erp.bioscientifica.com/,2055-0464,A1
International Journal of Sports Science and Coaching,0.515,Q3,22,80,326,https://journals.sagepub.com/home/spo,1747-9541/2048-397X,A2
Current Sports Medicine Reports,0.502,Q3,47,109,316,https://journals.lww.com/acsm-csmr/pages/default.aspx,1537-890X/1537-8918,A2
Topics in Language Disorders,0.48700000000000004,Q3,41,20,80,https://journals.lww.com/topicsinlanguagedisorders/pages/default.aspx,0271-8294/1550-3259,A1
Journal of Motor Behavior,0.478,Q3,66,104,206,https://www.tandfonline.com/loi/vjmb20,0022-2895/1940-1027,B
High Altitude Medicine and Biology,0.47700000000000004,Q3,49,66,174,https://home.liebertpub.com/publications/high-altitude-medicine-and-biology/65,1527-0297/1557-8682,A2
Brain Impairment,0.47200000000000003,Q3,21,35,73,https://www.cambridge.org/core/journals/brain-impairment,1443-9646/1839-5252,B
Informatics for Health and Social Care,0.467,Q3,36,35,75,https://www.tandfonline.com/loi/imif20,Sin informacion,No
Practical Laboratory Medicine,0.465,Q3,8,33,84,https://www.journals.elsevier.com/practical-laboratory-medicine,2352-5517,B
Seminars in Speech and Language,0.45799999999999996,Q3,38,34,117,https://www.thieme.com/books-main/speech-language-pathology/product/2189-seminars-in-speech-and-language,0734-0478/1098-9056,A2
