Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Schizophrenia Research,1.796 ,Q2,171,575,1352,https://www.sciencedirect.com/journal/schizophrenia-research,0920-9964/1573-2509,A1
Progress in Neuro-Psychopharmacology and Biological Psychiatry,1.714 ,Q2,123,279,652,https://www.journals.elsevier.com/progress-in-neuro-psychopharmacology-and-biological-psychiatry,Sin informacion,No
Journal of Neuroscience Research,1.662 ,Q2,156,170,540,https://onlinelibrary.wiley.com/journal/10974547,0360-4012/1097-4547,A1
Neuropharmacology,1.638 ,Q2,159,408,1389,https://www.sciencedirect.com/journal/neuropharmacology,0028-3908/1873-7064,A1
Frontiers in Cellular Neuroscience,1.618 ,Q2,76,582,1265,https://www.frontiersin.org/journals/cellular-neuroscience,1662-5102,A2
Journal of Neural Engineering,1.611 ,Q2,100,205,544,https://iopscience.iop.org/journal/1741-2552,1741-2552/1741-2560,A1
"American Journal of Medical Genetics, Part B, Neuropsychiatric Genetics",1.567 ,Q2,124,59,262,https://onlinelibrary.wiley.com/journal/1552485x#,Sin informacion,No
Biomolecular Concepts,1.461 ,Q2,26,24,69,https://www.degruyter.com/view/j/bmc,1868-5021/1868-503X,A1
Neurogenetics,1.457 ,Q2,58,29,97,https://www.springer.com/journal/10048,1364-6745/1364-6753,A2
Translational Stroke Research,1.455 ,Q2,43,115,196,https://www.springer.com/journal/12975,1868-4483/1868-601X,A1
Biological Psychology,1.446 ,Q2,116,150,508,https://www.journals.elsevier.com/biological-psychology,Sin informacion,No
Molecular and Cellular Neurosciences,1.439 ,Q2,132,66,311,https://www.journals.elsevier.com/molecular-and-cellular-neuroscience,1044-7431/1095-9327,A2
Learning and Memory,1.427 ,Q2,130,59,245,http://learnmem.cshlp.org/,1072-0502/1549-5485,A1
Network Neuroscience,1.420 ,Q2,10,12,74,https://www.mitpressjournals.org/netn,2472-1751,A1
Journal of Neurophysiology,1.411 ,Q2,238,414,1438,https://journals.physiology.org/journal/jn,0022-3077/1522-1598,A1
Journal of Molecular Psychiatry,1.409 ,Q2,4,0,2,https://jmolecularpsychiatry.biomedcentral.com/,Sin informacion,No
World Journal of Biological Psychiatry,1.405 ,Q2,66,126,228,https://www.tandfonline.com/toc/iwbp20/current,1562-2975/1814-1412,A1
Cognitive Neuroscience,1.389 ,Q2,28,39,93,https://www.tandfonline.com/toc/pcns20/current,1758-8928/1758-8936,A2
Journal of Parkinson's Disease,1.383 ,Q2,38,91,246,https://www.journalofparkinsonsdisease.com/,Sin informacion,No
Brain and Language,1.379 ,Q2,118,71,239,https://www.journals.elsevier.com/brain-and-language,0093-934X/1090-2155,A1
Frontiers in Neuroinformatics,1.377 ,Q2,57,76,225,https://www.frontiersin.org/journals/neuroinformatics,1662-5196,A1
European Journal of Neuroscience,1.376 ,Q2,199,395,891,https://onlinelibrary.wiley.com/journal/14609568,0953-816X/1460-9568,A2
Neuroscience,1.364 ,Q2,213,648,2037,https://www.journals.elsevier.com/neuroscience,0306-4522/1873-7544,A2
Cell Death Discovery,1.361 ,Q2,21,96,319,https://www.nature.com/cddiscovery/,2058-7716,A2
Neurogastroenterology and Motility,1.330 ,Q2,100,221,697,https://onlinelibrary.wiley.com/journal/13652982,1350-1925/1365-2982,A1
International Journal of Bipolar Disorders,1.309 ,Q2,20,29,93,https://journalbipolardisorders.springeropen.com/,2194-7511,A1
Current Neurology and Neuroscience Reports,1.301 ,Q2,67,105,313,https://link.springer.com/journal/11910,1528-4042/1534-6293,A1
Cell Adhesion and Migration,1.293 ,Q2,53,31,157,https://www.tandfonline.com/toc/kcam20/current,1933-6918/1933-6926,A2
ACS Chemical Neuroscience,1.289 ,Q2,62,497,847,https://pubs.acs.org/journal/acncdm,1948-7193,A1
European Archives of Psychiatry and Clinical Neuroscience,1.272 ,Q2,96,168,276,https://www.springer.com/journal/406,0940-1334/1433-8491,A1
Graefe's Archive for Clinical and Experimental Ophthalmology,1.265 ,Q2,96,336,1009,https://www.springer.com/journal/417,Sin informacion,No
Neurophotonics,1.262 ,Q2,26,57,207,https://www.spiedigitallibrary.org/journals/neurophotonics/,2329-423X/2329-4248,A1
Journal of Cataract and Refractive Surgery,1.255 ,Q2,137,453,1176,https://www.jcrsjournal.org/,0886-3350/1873-4502,A1
Brain and Cognition,1.244 ,Q2,122,97,289,https://www.sciencedirect.com/journal/brain-and-cognition,0278-2626/1090-2147,A1
Therapeutic Advances in Neurological Disorders,1.240 ,Q2,44,74,161,https://us.sagepub.com/en-us/nam/therapeutic-advances-in-neurological-disorders/journal201898,1756-2856/1756-2864,A1
Journal of NeuroImmune Pharmacology,1.235 ,Q2,66,94,174,https://www.springer.com/journal/11481,1557-1890/1557-1904,A1
Journal of Neuro-Oncology,1.228 ,Q2,111,326,1061,https://www.springer.com/journal/11060,Sin informacion,No
Topics in Cognitive Science,1.207 ,Q2,51,97,178,https://onlinelibrary.wiley.com/journal/17568765,1756-8757/1756-8765,A1
ASN Neuro,1.200 ,Q2,41,24,63,https://journals.sagepub.com/home/asn,1759-0914,A1
Journal of the International Neuropsychological Society,1.198 ,Q2,121,128,292,https://www.cambridge.org/core/journals/journal-of-the-international-neuropsychological-society,1355-6177/1469-7661,A1
Headache,1.197 ,Q2,115,229,702,https://headachejournal.onlinelibrary.wiley.com/loi/15264610,0017-8748/1526-4610,A1
Early Intervention in Psychiatry,1.183 ,Q2,42,246,321,https://onlinelibrary.wiley.com/journal/17517893,1751-7885/1751-7893,A1
Neurocomputing,1.178 ,Q2,123,1370,4090,https://www.journals.elsevier.com/neurocomputing,0925-2312/1872-8286,A1
Neuromuscular Disorders,1.177 ,Q2,94,137,474,https://www.journals.elsevier.com/neuromuscular-disorders,0960-8966/1873-2364,A1
Clinical and Translational Science,1.175 ,Q2,39,92,185,https://ascpt.onlinelibrary.wiley.com/journal/17528062,1752-8054/1752-8062,A1
Dementia and Geriatric Cognitive Disorders,1.171 ,Q2,105,61,189,https://www.karger.com/Journal/Home/224226,1420-8008/1421-9824,A1
Otology and Neurotology,1.169 ,Q2,99,378,1134,https://journals.lww.com/otology-neurotology/pages/default.aspx,1531-7129/1537-4505,A1
Cerebrovascular Diseases,1.168 ,Q2,101,75,264,https://www.karger.com/Journal/Home/224153,1015-9770/1421-9786,A1
Cognitive Computation,1.165 ,Q2,43,83,243,https://www.springer.com/journal/12559,1866-9956/1866-9964,A1
Social Neuroscience,1.165 ,Q2,64,81,182,https://www.tandfonline.com/loi/psns20,1747-0919/1747-0927,A1
Advances in neurobiology,1.159 ,Q2,16,31,158,https://link.springer.com/bookseries/8787,Sin informacion,No
International Journal of Behavioral Development,1.159 ,Q2,86,96,205,https://journals.sagepub.com/home/jbd,0165-0254/1464-0651,A1
Eye,1.148 ,Q2,93,432,927,https://www.nature.com/eye/,0950-222X/1476-5454,A1
Journal of Clinical Sleep Medicine,1.147 ,Q2,86,277,789,https://jcsm.aasm.org/journal/jcsm,1550-9389/1550-9397,A1
Progress in Brain Research,1.147 ,Q2,137,127,311,https://www.sciencedirect.com/bookseries/progress-in-brain-research,Sin informacion,No
Psychiatry and Clinical Neurosciences,1.143 ,Q2,70,130,294,https://onlinelibrary.wiley.com/journal/14401819,1323-1316/1440-1819,A1
Experimental Eye Research,1.139 ,Q2,119,356,712,http://www.elsevier.com/wps/find/journaldescription.cws_home/622827/description#description,0014-4835/1096-0007,A1
Cognitive Neuropsychology,1.135 ,Q2,87,46,103,https://www.tandfonline.com/toc/pcgn20/current,0264-3294/1464-0627,A1
Neurology and Therapy,1.135 ,Q2,16,51,79,https://www.springer.com/springer+healthcare/journal/40120,2193-6536/2193-8253,A2
Neural Computation,1.134 ,Q2,157,88,314,https://www.mitpressjournals.org/loi/neco,0899-7667/1530-888X,A1
Audiology and Neuro-Otology,1.132 ,Q2,75,51,130,https://www.karger.com/Journal/Home/224213,Sin informacion,No
Brain Research,1.132 ,Q2,198,523,1412,https://www.journals.elsevier.com/brain-research,0006-8993/1872-6240,A2
Psychiatry Research - Neuroimaging,1.131 ,Q2,105,116,410,https://www.journals.elsevier.com/psychiatry-research-neuroimaging,Sin informacion,No
Journal of Vision,1.117 ,Q2,107,249,735,https://jov.arvojournals.org/,1534-7362,A1
Journal of Neuroscience Methods,1.112 ,Q2,141,295,805,https://www.sciencedirect.com/journal/journal-of-neuroscience-methods,0165-0270/1872-678X,A2
Multiple Sclerosis and Demyelinating Disorders,1.108 ,Q2,2,1,2,https://msddjournal.biomedcentral.com/,2056-6115,A2
Neuroscience Research,1.102 ,Q2,95,152,310,http://www.elsevier.com/wps/find/journaldescription.cws_home/506081/description#description,0168-0102/1872-8111,A1
Expert Review of Neurotherapeutics,1.101 ,Q2,72,107,362,http://www.expert-reviews.com/loi/ern,1473-7175/1744-8360,A1
Journal of Neuromuscular Diseases,1.091 ,Q2,18,50,136,https://www.iospress.nl/journal/journal-of-neuromuscular-diseases/,2214-3599/2214-3602,A2
Cognitive Research: Principles and Implications,1.087 ,Q2,11,50,134,https://www.scimagojr.com/journalsearch.php?q=21100935976&tip=sid&clean=0,Sin informacion,No
Reviews in the Neurosciences,1.087 ,Q2,71,62,188,https://www.degruyter.com/view/j/revneuro?lang=en,0334-1763/1607-8470,A2
Journal of Neuroendocrinology,1.083 ,Q2,111,128,288,https://onlinelibrary.wiley.com/journal/13652826,0953-8194/1365-2826,A2
Sleep Health,1.083 ,Q2,20,103,239,https://www.journals.elsevier.com/sleep-health,2352-7218,A1
JARO - Journal of the Association for Research in Otolaryngology,1.080 ,Q2,69,38,150,https://www.springer.com/journal/10162,Sin informacion,No
Brain Research Bulletin,1.079 ,Q2,125,267,616,https://www.journals.elsevier.com/brain-research-bulletin,0361-9230/1873-2747,A2
Current Alzheimer Research,1.079 ,Q2,83,115,416,https://benthamscience.com/journals/current-alzheimer-research/,1567-2050/1875-5828,A2
Journal of the Peripheral Nervous System,1.075 ,Q2,64,62,116,https://onlinelibrary.wiley.com/journal/15298027,1085-9489/1529-8027,A1
Vision Research,1.075 ,Q2,157,156,419,https://www.sciencedirect.com/journal/vision-research,0042-6989/1878-5646,A1
Frontiers in Neurology,1.062 ,Q2,57,1223,1981,https://www.frontiersin.org/journals/neurology,1664-2295,A2
International Journal of Psychophysiology,1.059 ,Q2,119,155,465,https://www.journals.elsevier.com/international-journal-of-psychophysiology,0167-8760/1872-7697,A2
Schizophrenia Research: Cognition,1.055 ,Q2,15,22,57,https://www.journals.elsevier.com/schizophrenia-research-cognition/,Sin informacion,No
Behavioral Neuroscience,1.054 ,Q2,135,66,170,https://www.apa.org/pubs/journals/bne/,0735-7044/1939-0084,A2
Journal of NeuroVirology,1.051 ,Q2,82,118,310,https://www.springer.com/journal/13365,1355-0284/1538-2443,A2
Journal of Neuroimmunology,1.046 ,Q2,135,196,611,https://www.journals.elsevier.com/journal-of-neuroimmunology,0165-5728/1872-8421,A2
Focus on Autism and Other Developmental Disabilities,1.045 ,Q2,64,30,79,https://journals.sagepub.com/home/foa,1088-3576/1538-4829,A1
Cognitive Neurodynamics,1.044 ,Q2,38,48,144,https://www.springer.com/journal/11571,1871-4080/1871-4099,A2
Journal of Physiology Paris,1.043 ,Q2,71,0,54,https://www.journals.elsevier.com/journal-of-physiology-paris,1769-7115,A2
Frontiers in Computational Neuroscience,1.041 ,Q2,50,92,358,https://www.frontiersin.org/journals/computational-neuroscience,1662-5188,A2
Journal of Neural Transmission,1.036 ,Q2,106,171,490,http://www.springer.com/springerwiennewyork/medicine/journal/702,0300-9564/1435-1463,A1
IEEE Transactions on Neural Systems and Rehabilitation Engineering,1.033 ,Q2,130,249,644,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7333,1534-4320/1558-0210,A1
Brain Topography,1.028 ,Q2,67,77,217,http://www.springer.com/biomed/neuroscience/journal/10548,0896-0267/1573-6792,A1
Behavioral and Brain Functions,1.025 ,Q2,56,11,66,http://www.behavioralandbrainfunctions.com/,1744-9081,A1
BMC Neuroscience,1.023 ,Q2,93,66,243,http://www.biomedcentral.com/bmcneurosci/,1471-2202,A2
Cerebrovascular Diseases Extra,1.016 ,Q2,10,18,46,https://www.karger.com/Journal/Home/254735,1664-5456,A1
Neurodegenerative Diseases,1.010 ,Q2,55,17,121,http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=229093,1660-2854/1660-2862,A2
Neurobiology of Sleep and Circadian Rhythms,1.009 ,Q2,7,10,36,https://www.journals.elsevier.com/neurobiology-of-sleep-and-circadian-rhythms,2451-9944,A2
Ophthalmologica,1.007 ,Q2,58,62,225,https://www.karger.com/Journal/Home/224269,0030-3755/1423-0267,A1
Brain Sciences,0.999 ,Q2,26,380,458,https://www.mdpi.com/journal/brainsci,2076-3425,A2
Journal of the Neurological Sciences,0.996 ,Q2,132,437,1832,http://www.elsevier.com/wps/find/journaldescription.cws_home/506078/description#description,0022-510X/1878-5883,A2
PeerJ,0.995 ,Q2,56,2056,4542,https://peerj.com/,2167-8359,A1
Neurophysiologie Clinique,0.993 ,Q2,59,47,109,http://www.elsevier.com/wps/find/journaldescription.cws_home/505818/description#description,Sin informacion,No
Physiology and Behavior,0.993 ,Q2,153,388,1231,http://www.elsevier.com/wps/find/journaldescription.cws_home/525487/description#description,0031-9384/1873-507X,A1
Journal of ECT,0.982 ,Q2,57,97,258,http://journals.lww.com/ectjournal/pages/default.aspx,1095-0680/1533-4112,A1
Journal of Eating Disorders,0.979 ,Q2,24,41,137,https://jeatdisord.biomedcentral.com/,2050-2974,A2
Journal of Clinical Neurology (Korea,0.972 ,Q2,40,106,284,https://www.scimagojr.com/journalsearch.php?q=21100213700&tip=sid&clean=0,Sin informacion,No
Developmental Neuroscience,0.962 ,Q2,78,34,115,https://www.karger.com/Journal/Home/224107,0378-5866/1421-9859,A2
Epilepsy and Behavior,0.961 ,Q2,98,550,1396,https://www.sciencedirect.com/journal/epilepsy-and-behavior,1525-5050/1525-5069,A2
Pharmacology Research and Perspectives,0.953 ,Q2,24,95,230,https://www.wiley.com/en-us/Pharmacology+Research+%26+Perspectives-p-9780JRNL75675,2052-1707,A1
Stress,0.949 ,Q2,76,97,204,http://informahealthcare.com/loi/sts,Sin informacion,No
Journal of Vestibular Research: Equilibrium and Orientation,0.947 ,Q2,52,30,75,https://www.jvr-web.org/,Sin informacion,No
Acta Neurologica Scandinavica,0.943 ,Q2,93,136,521,http://www.wiley.com/bw/journal.asp?ref=0001-6314&site=1,0001-6314/1600-0404,A1
IBRO Reports,0.938 ,Q2,6,38,47,https://www.journals.elsevier.com/ibro-reports,2451-8301,A2
Journal of Computational Neuroscience,0.937 ,Q2,71,34,116,http://www.springer.com/biomed/neuroscience/journal/10827,0929-5313/1573-6873,A2
NeuroToxicology,0.933 ,Q2,109,128,533,https://www.journals.elsevier.com/neurotoxicology,0161-813X/1872-9711,A1
British Journal of Developmental Psychology,0.926 ,Q2,71,48,131,http://www.bpsjournals.co.uk/journals/bjdp/,0261-510X/2044-835X,A2
Frontiers in Integrative Neuroscience,0.921 ,Q2,55,73,150,https://www.frontiersin.org/journals/integrative-neuroscience,1662-5145,A2
Neurotoxicology and Teratology,0.915 ,Q2,94,41,194,http://www.elsevier.com/wps/find/journaldescription.cws_home/525481/description#description,0892-0362/1872-9738,A1
Journal of Neuropsychology,0.912 ,Q2,34,47,74,http://www.bpsjournals.co.uk/journals/jnp/,1748-6645/1748-6653,A2
Neuroscience of Consciousness,0.904 ,Q2,2,12,1,https://www.scimagojr.com/journalsearch.php?q=21100915393&tip=sid&clean=0,2057-2107,A1
Learning Disability Quarterly,0.900 ,Q2,47,38,62,https://journals.sagepub.com/home/ldq,0731-9487/2168-376X,A1
Aphasiology,0.897 ,Q2,65,119,226,http://www.informaworld.com/smpp/title~content=t713393920~db=all,0268-7038/1464-5041,A1
Journal of Neurolinguistics,0.891 ,Q2,55,76,127,https://www.journals.elsevier.com/journal-of-neurolinguistics,0911-6044/1873-8052,A1
Neurotoxicity Research,0.889 ,Q2,68,158,369,http://www.springer.com/biomed/neuroscience/journal/12640,1029-8428/1476-3524,A2
Pediatric Neurology,0.883 ,Q2,87,203,655,http://www.elsevier.com/wps/find/journaldescription.cws_home/524904/description#description,0887-8994/1873-5150,A1
Journal of Experimental Neuroscience,0.882 ,Q2,14,58,96,https://www.scimagojr.com/journalsearch.php?q=21100200810&tip=sid&clean=0,Sin informacion,No
NeuroMolecular Medicine,0.882 ,Q2,69,55,138,http://www.springer.com/medicine/journal/12017,1535-1084/1559-1174,A2
International Journal of Alzheimer's Disease,0.881 ,Q2,46,3,24,https://www.scimagojr.com/journalsearch.php?q=19700177306&tip=sid&clean=0,Sin informacion,No
Brain and Behavior,0.873 ,Q2,35,295,707,https://www.scimagojr.com/journalsearch.php?q=21100286315&tip=sid&clean=0,2157-9032/2162-3279,A2
Neuropsychoanalysis,0.865 ,Q2,25,12,57,https://www.scimagojr.com/journalsearch.php?q=17462&tip=sid&clean=0,1529-4145/2044-3978,A2
Developmental Psychobiology,0.864 ,Q2,89,125,288,http://www3.interscience.wiley.com/journal/29287/home,0012-1630/1098-2302,A2
Epilepsia Open,0.863 ,Q2,9,71,136,https://www.scimagojr.com/journalsearch.php?q=21100900324&tip=sid&clean=0,2470-9239,A2
Endocrine Development,0.852 ,Q2,36,0,70,http://content.karger.com/ProdukteDB/produkte.asp?Aktion=showproducts&ProduktNr=224190&searchWhat=bookseries&ContentOnly=false,Sin informacion,No
Brain-Computer Interfaces,0.850 ,Q2,14,8,51,https://www.scimagojr.com/journalsearch.php?q=21100886426&tip=sid&clean=0,Sin informacion,No
Brain Informatics,0.850 ,Q2,15,8,65,https://braininformatics.springeropen.com/,2198-4018/2198-4026,A2
Seizure : the journal of the British Epilepsy Association,0.849 ,Q2,80,274,680,https://www.journals.elsevier.com/seizure-european-journal-of-epilepsy,Sin informacion,No
"Brain, Behavior and Evolution",0.845 ,Q2,74,25,125,http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=223831,Sin informacion,No
Journal of Intellectual Disability Research,0.845 ,Q2,99,110,294,http://www.wiley.com/bw/journal.asp?ref=0964-2633,0964-2633/1365-2788,A1
Epilepsy Research,0.844 ,Q2,110,161,599,http://www.elsevier.com/wps/find/journaldescription.cws_home/506053/description#description,0920-1211/1872-6844,A2
Autonomic Neuroscience: Basic and Clinical,0.831 ,Q2,79,76,251,http://www.elsevier.com/wps/find/journaldescription.cws_home/506089/description#description,Sin informacion,No
Journal of the Experimental Analysis of Behavior,0.829 ,Q2,57,67,190,https://onlinelibrary.wiley.com/journal/19383711,0022-5002/1938-3711,A2
Multiple Sclerosis and Related Disorders,0.829 ,Q2,30,441,657,https://www.scimagojr.com/journalsearch.php?q=20000195097&tip=sid&clean=0,2211-0348/2211-0356,A2
Revue Neurologique,0.828 ,Q2,44,133,366,http://www.elsevier.com/wps/find/journaldescription.cws_home/709685/description#description,0035-3787/2213-0004,A2
Pharmacology Biochemistry and Behavior,0.814 ,Q2,131,128,360,http://www.elsevier.com/wps/find/journaldescription.cws_home/525485/description#description,0091-3057/1873-5177,A2
Translational Behavioral Medicine,0.812 ,Q2,33,141,325,https://www.scimagojr.com/journalsearch.php?q=21100199546&tip=sid&clean=0,1613-9860/1869-6716,A2
Chemical Senses,0.802 ,Q2,96,70,229,http://chemse.oxfordjournals.org/,0379-864X/1464-3553,A2
