Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
International Journal of Sports Marketing and Sponsorship,0.353 ,Q4,20,50,75,https://www.emerald.com/insight/publication/issn/1464-6668,1464-6668/2515-7841,A2
"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology",0.351 ,Q4,18,65,112,https://journals.sagepub.com/home/pip,Sin informacion,No
Asian Journal of Sports Medicine,0.303 ,Q4,23,32,149,https://www.scimagojr.com/journalsearch.php?q=19900192605&tip=sid&clean=0,2008-000X/2008-7209,B
Journal of Nuclear Medicine Technology,0.303 ,Q4,39,84,221,http://tech.snmjournals.org/,0091-4916/1535-5675,B
Revista de Psicologia del Deporte,0.287 ,Q4,23,35,277,https://www.rpd-online.com/index.php/rpd,1132-239X/1988-5636,B
Sport Sciences for Health,0.287 ,Q4,14,123,235,https://www.springer.com/journal/11332,1824-7490/1825-1234,B
International Journal of Radiation Research,0.258 ,Q4,16,81,163,http://ijrr.com,2322-3243/2345-4229,B
Journal of Medical Signals and Sensors,0.258 ,Q4,17,37,96,http://jmss.mui.ac.ir/index.php/jmss,2228-7477,B
Sportverletzung-Sportschaden,0.258 ,Q4,20,98,169,https://www.thieme.de/de/sportverletzung-sportschaden/profil-3811.htm,Sin informacion,No
Science and Sports,0.255 ,Q4,22,124,234,https://www.journals.elsevier.com/science-and-sports,0765-1597/1778-4131,B
International Journal of Sport Finance,0.251 ,Q4,20,18,64,http://fitpublishing.com/journals/ijsf,1558-6235/1930-076X,B
Motriz. Revista de Educacao Fisica,0.243 ,Q4,12,54,150,http://www.periodicos.rc.biblioteca.unesp.br/index.php/motriz/issue/archive,Sin informacion,No
Operative Techniques in Sports Medicine,0.234 ,Q4,29,37,134,https://www.journals.elsevier.com/operative-techniques-in-sports-medicine,1060-1872/1557-9794,B
Iranian Journal of Medical Physics,0.233 ,Q4,7,46,101,http://ijmp.mums.ac.ir/,1735-160X/1735-7241,C
Canadian Journal of Respiratory Therapy,0.228 ,Q4,8,13,58,https://www.cjrt.ca/,1205-9838/2368-6820,B
Communication Sciences and Disorders,0.222 ,Q4,9,86,222,https://www.e-csd.org/about/,2288-0917/2288-1328,A2
International Journal of Telemedicine and Applications,0.222 ,Q4,25,7,35,https://www.hindawi.com/journals/ijta/?utm_source=google&utm_medium=cpc&utm_campaign=HDW_MRKT_GBL_SUB_ADWO_PAI_DYNA_JOUR_X&gclid=CjwKCAiAyeTxBRBvEiwAuM8dneKXIMhwShM7s61roEgEk-kE2pEA9V87vU2u3kFTKHyLDpHeh4fIHRoC2GMQAvD_BwE,1687-6415/1687-6423,B
"Revista de Logopedia, Foniatria y Audiologia",0.220 ,Q4,11,27,74,https://www.elsevier.es/es-revista-revista-logopedia-foniatria-audiologia-309,Sin informacion,No
International Journal of Sport Management and Marketing,0.212 ,Q4,21,23,57,https://www.inderscience.com/jhome.php?jcode=ijsmm,1475-8962/1740-2808,B
Journal of Chiropractic Education,0.205 ,Q4,3,17,33,https://www.journalchiroed.com/,1042-5055/2374-250X,C
Journal of Medical Imaging and Radiation Sciences,0.202 ,Q4,10,110,207,https://www.journals.elsevier.com/journal-of-medical-imaging-and-radiation-sciences,1876-7982/1939-8654,C
Journal of Imagery Research in Sport and Physical Activity,0.196 ,Q4,9,5,10,https://www.degruyter.com/view/j/jirspa,1932-0191/2194-637X,C
